0,1,2,3
0.6146391,-1.1729828000000002,-3.2817837999999995,-3.1925595
0.54096997,-1.6712096999999997,-3.6544163,-4.9088316
0.44907305,-1.8352977,-5.18811,-4.8083014
0.3340753,-1.6997276999999995,-6.3745059999999985,-4.606765
0.28807697,-1.0171003,-6.8297954,-4.5835752
0.23619726,-0.5481956,-7.1097617,-4.1831163999999985
0.19249481,-0.17089373,-7.426496,-4.3680234
0.16167384,0.05954098,-7.7338460000000016,-4.5100822
0.13474524,0.29960376,-7.9658413,-4.511482
0.10718892,0.5449195,-7.981847,-4.628232499999998
0.081951916,0.65838534,-8.140944500000002,-4.711604
0.057800964,0.7371234999999999,-8.268132000000001,-4.65897
0.03164396,0.73881006,-8.272437,-4.556617
0.0,0.7371696,-8.281641,-4.5209975
